Date,City,Location,Branch,Store Name,Category,Subcategory,Brand,Product,Units Sold,Sales,Expenses,OSA,Classification,Waste,Waste Reason,Lost from Waste,Salvageable
1/1/2024,Riyadh,Al Nakheel,Branch P,Store P,Snacks,Chips,Brand A,Potato Chips Salts,6,21.57742,16,0.655400885,WS,0,,0,0.00%
1/1/2024,Riyadh,Al Malaz,Branch Q,Store Q,Beverages,Soft Drinks,Brand B,Seven Up Can 330ml,5,15.4479,12,0.791650961,DS,0,,0,0.00%
1/1/2024,Mecca,Al Aziziyah,Branch K,Store K,Frozen Foods,Ready Meals,Brand F,Frozen Pizza Cheese,3.224553952,8.155434451,4.151762339,0.879475167,WS,0,,0,0.00%
1/1/2024,Mecca,Al Awali,Branch J,Store J,Dairy,Yogurt,Brand C,Yogurt Cup Flavored,5.038279929,21.16853023,16.99873568,0.13411884,MT,0,,0,0.00%
1/2/2024,Medina,Al Madinah,Branch B,Store B,Snacks,Chips,Brand G,Potato Chips Salts,2,44.09136,35,0.990828512,DS,0,,0,0.00%
1/2/2024,Mecca,Al Awali,Branch W,Store W,Snacks,Cookies,Brand J,Biscuits Strawberry,11.89010858,605.3313455,229.0067583,0.051269986,MT,0,,0,0.00%
1/2/2024,Jeddah,Al Hamra,Branch Z,Store Z,Dairy,Cheese,Brand A,Emmental Cheese,11,63.99036,49,0.904011956,MT,0,,0,0.00%
1/2/2024,Riyadh,Al Nakheel,Branch N,Store N,Beverages,Soft Drinks,Brand J,Seven Up Can 330ml,17.90522226,305.6665,101.0001356,0.251571152,MT,0,,0,0.00%
1/2/2024,Riyadh,Olaya,Branch I,Store I,Dairy,Yogurt,Brand J,Yogurt Cup Plain,19.76023773,270.6141832,230.134794,0.33312207,MT,0,,0,0.00%
1/2/2024,Medina,Al Qiblatayn,Branch P,Store P,Beverages,Juice,Brand A,Apple Juice 1L,7,252.81792,168,0.605657017,WS,6,Incorrect Labeling,231.5182418,6.18%
1/2/2024,Riyadh,Olaya,Branch G,Store G,Dairy,Milk,Brand J,Full Fat Milk 1L,5.862469332,69.74523234,74.62012263,0.980887756,WS,0,,0,0.00%
1/2/2024,Jeddah,Al Andalus,Branch T,Store T,Snacks,Chips,Brand C,Potato Chips Vinegar,25.29151657,217.5634478,136.3068468,0.459590104,WS,0,,0,0.00%
1/2/2024,Mecca,Al Awali,Branch O,Store O,Frozen Foods,Desserts,Brand D,Ice Cream Vanilla,4,71.62092,54,0.899374009,DS,0,,0,0.00%
1/2/2024,Medina,Al Madinah,Branch A,Store A,Bakery,Pastry,Brand D,Croissant Chocolat,8,18.0864,14,0.365895555,SS,0,,0,0.00%
1/3/2024,Dammam,Al Khobar,Branch G,Store G,Dairy,Cheese,Brand I,Emmental Cheese,9.502684507,62.54336459,61.40331624,0.927245459,WS,0,,0,0.00%
1/3/2024,Mecca,Al Awali,Branch F,Store F,Frozen Foods,Frozen Meat,Brand I,Chicken Tender,21.85191355,423.536769,260.4358896,0.401012117,MT,0,,0,0.00%
1/3/2024,Dammam,Al Faisaliyah,Branch X,Store X,Dairy,Cheese,Brand H,Cheddar Cheese,5,87.59418,65,0.630037799,WS,0,,0,0.00%
1/3/2024,Dammam,Al Faisaliyah,Branch N,Store N,Beverages,Water,Brand A,Mineral Water 1L,11,377.49124,251,0.820284047,MT,0,,0,0.00%
