Audit_ID,Audit_Date,Region,City,Parent_Company,Category,Brand,Product,Shelf_Location,System_Stock,Physical_Stock,Expiry_Date,Quality_Status,Planogram_Compliance,Price_Accuracy,Promo_Execution,Variance_Pct
AUD350776,23/08/2021,Hail,Al Hazm,Unilever,Food,Knorr,Knorr Chicken Cubes,A2-S3,59,162,29/06/2022,OK,Yes,Correct,Perfect,174.58
AUD313136,08/08/2020,Najran,Badr Al Janub,Nestlé,Beverages,Milo,Milo 400g,A1-S5,22,102,12/06/2021,OK,Yes,Correct,Perfect,363.64
AUD800789,01/01/2020,Asir,Muhayil,Almarai,Juices,Almarai,Almarai Mango 1.5L,A5-S4,107,151,05/05/2020,OK,Yes,Correct,Perfect,41.12
AUD882184,23/04/2021,Madinah,Yanbu,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A5-S1,186,43,10/04/2022,Damaged,Yes,Correct,Perfect,-76.88
AUD498357,09/06/2024,Asir,Bisha,Almarai,Juices,Almarai,Almarai Apple 1.5L,A5-S1,191,151,13/05/2025,OK,Yes,Correct,Minor Issues,-20.94
AUD859908,21/01/2023,Najran,Badr Al Janub,PepsiCo,Snacks,Lays,Lays Classic 40g,A6-S4,69,136,15/10/2023,Damaged,Yes,Correct,Perfect,97.1
AUD335863,24/07/2023,Makkah,Al Lith,Nestlé,Beverages,Milo,Milo 400g,A1-S2,27,157,27/12/2023,OK,Yes,Correct,Perfect,481.48
AUD771452,03/12/2020,Najran,Thar,Almarai,Dairy,Lusine,Lusine Cheese 200g,A4-S2,133,144,30/01/2021,OK,Yes,Correct,Minor Issues,8.27
AUD759968,24/11/2022,Northern Borders,Al Khafji,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A3-S1,77,115,21/08/2023,OK,Yes,Correct,Perfect,49.35
AUD158619,20/11/2024,Al Bahah,Al Makhwah,Nestlé,Confectionery,Quality,Quality Street Tin,A4-S4,160,183,08/05/2025,OK,Yes,Correct,Perfect,14.37
AUD840446,17/04/2025,Asir,Khamis Mushait,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A6-S4,191,47,21/09/2025,OK,No,Correct,Minor Issues,-75.39
AUD568308,08/10/2020,Al Bahah,Baljurashi,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A6-S4,55,65,18/03/2021,OK,Yes,Correct,Perfect,18.18
AUD378802,02/03/2023,Hail,Al Makhrouq,Nestlé,Confectionery,KitKat,KitKat 4-finger,A4-S5,90,18,17/08/2023,OK,Yes,Correct,Perfect,-80
AUD363053,04/02/2025,Hail,Al Sulaimi,Unilever,Food,Lipton,Lipton Yellow Label 100g,A5-S2,110,121,31/10/2025,OK,Yes,Correct,Perfect,10
