Audit_ID,Audit_Date,Region,City,Parent_Company,Category,Brand,Product,Shelf_Location,System_Stock,Physical_Stock,Expiry_Date,Quality_Status,Planogram_Compliance,Price_Accuracy,Promo_Execution,Variance_Pct
AUD350776,2021-08-23,Hail,Al Hazm,Unilever,Food,Knorr,Knorr Chicken Cubes,A2-S3,59,162,2022-06-29,OK,Yes,Correct,Perfect,174.58
AUD313136,2020-08-08,Najran,Badr Al Janub,Nestlé,Beverages,Milo,Milo 400g,A1-S5,22,102,2021-06-12,OK,Yes,Correct,Perfect,363.64
AUD800789,2020-01-01,Asir,Muhayil,Almarai,Juices,Almarai,Almarai Mango 1.5L,A5-S4,107,151,2020-05-05,OK,Yes,Correct,Perfect,41.12
AUD882184,2021-04-23,Madinah,Yanbu,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A5-S1,186,43,2022-04-10,Damaged,Yes,Correct,Perfect,-76.88
AUD498357,2024-06-09,Asir,Bisha,Almarai,Juices,Almarai,Almarai Apple 1.5L,A5-S1,191,151,2025-05-13,OK,Yes,Correct,Minor Issues,-20.94
AUD859908,2023-01-21,Najran,Badr Al Janub,PepsiCo,Snacks,Lays,Lays Classic 40g,A6-S4,69,136,2023-10-15,Damaged,Yes,Correct,Perfect,97.1
AUD335863,2023-07-24,Makkah,Al Lith,Nestlé,Beverages,Milo,Milo 400g,A1-S2,27,157,2023-12-27,OK,Yes,Correct,Perfect,481.48
AUD771452,2020-12-03,Najran,Thar,Almarai,Dairy,Lusine,Lusine Cheese 200g,A4-S2,133,144,2021-01-30,OK,Yes,Correct,Minor Issues,8.27
AUD759968,2022-11-24,Northern Borders,Al Khafji,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A3-S1,77,115,2023-08-21,OK,Yes,Correct,Perfect,49.35
AUD158619,2024-11-20,Al Bahah,Al Makhwah,Nestlé,Confectionery,Quality,Quality Street Tin,A4-S4,160,183,2025-05-08,OK,Yes,Correct,Perfect,14.37
AUD840446,2025-04-17,Asir,Khamis Mushait,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A6-S4,191,47,2025-09-21,OK,No,Correct,Minor Issues,-75.39
AUD568308,2020-10-08,Al Bahah,Baljurashi,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A6-S4,55,65,2021-03-18,OK,Yes,Correct,Perfect,18.18
AUD378802,2023-03-02,Hail,Al Makhrouq,Nestlé,Confectionery,KitKat,KitKat 4-finger,A4-S5,90,18,2023-08-17,OK,Yes,Correct,Perfect,-80.0
AUD363053,2025-02-04,Hail,Al Sulaimi,Unilever,Food,Lipton,Lipton Yellow Label 100g,A5-S2,110,121,2025-10-31,OK,Yes,Correct,Perfect,10.0
AUD778767,2021-04-23,Northern Borders,Al Nairyah,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A5-S4,183,199,2021-11-19,OK,Yes,Correct,Not Executed,8.74
AUD961438,2021-06-08,Northern Borders,Al Wasita,Almarai,Juices,Almarai,Almarai Apple 1.5L,A3-S2,121,87,2022-05-15,Near Expiry,Yes,Correct,Minor Issues,-28.1
AUD570055,2023-02-06,Qassim,Ar Rass,Nestlé,Dairy,Nido,Nido 900g,A5-S4,127,50,2023-06-13,OK,Partial,Correct,Perfect,-60.63
AUD503701,2025-01-26,Al Bahah,Qilwah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A4-S3,158,98,2025-04-05,OK,Yes,Correct,Perfect,-37.97
AUD882507,2025-02-09,Makkah,Al Jumum,Nestlé,Beverages,Milo,Milo 400g,A3-S4,54,196,2026-01-05,Damaged,Yes,Correct,Perfect,262.96
AUD372797,2022-08-11,Northern Borders,Al Khafji,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A4-S2,80,158,2023-01-02,OK,Yes,Correct,Not Executed,97.5
AUD850310,2020-11-20,Madinah,Mahd Al Thahab,Unilever,Food,Lipton,Lipton Yellow Label 100g,A5-S4,56,44,2021-06-30,OK,Yes,Correct,Perfect,-21.43
