Order_ID,Order_Date,Dispatch_Date,Estimated_Delivery,Actual_Delivery,Delivery_Status,Region,City,Parent_Company,Category,Brand,Product,Number_of_Boxes,Total_Weight_KG,Order_Value_SAR,Delivery_Carrier,Payment_Method,Customer_Type,Days_Late,On_Time,City_Latitude,City_Longitude,Region_Latitude,Region_Longitude,Carrier Latitude,Carrier Longitude,Carrier_Latitude_old,Carrier_Longitude_old
ORD1000,18/04/2024,20/04/2024,23/04/2024,23/04/2024,Delivered,Hail,Hail,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,18,50.16,2161.33,Naqel,Bank Transfer,School,0,True,27.5114,41.7208,27.5114,41.7208,27.5145,41.7222,24.6531,46.7141
ORD1001,30/12/2024,01/01/2025,02/01/2025,02/01/2025,Delivered,Najran,Sharurah,Unilever,Personal Care,Dove,Dove Soap 90g,7,23.22,902.08,Naqel,Cash on Delivery,Hospital,0,True,17.4753,47.1216,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1002,27/07/2023,29/07/2023,01/08/2023,01/08/2023,Delivered,Najran,Najran,Unilever,Personal Care,Lux,Lux Body Wash,9,43.09,1209.53,Aramex,Credit Card,Restaurant,0,True,17.565,44.2289,17.565,44.2289,26.4207,50.0888,24.7838,46.6312
ORD1003,07/03/2025,09/03/2025,11/03/2025,11/03/2025,Delivered,Northern Borders,Turaif,Unilever,Personal Care,Lux,Lux Body Wash,16,58.49,3189.76,Aramex,Bank Transfer,Retail,0,True,31.6725,38.663,30.9753,41.0381,30,41,24.7838,46.6312
ORD1004,23/06/2023,25/06/2023,29/06/2023,29/06/2023,Delivered,Northern Borders,Rafha,Unilever,Food,Lipton,Lipton Yellow Label 100g,9,24.87,533.98,Fetchr,Corporate Account,Hospital,0,True,29.6204,43.4933,30.9753,41.0381,30.001,41.002,24.7961,46.6753
ORD1005,30/12/2023,01/01/2024,03/01/2024,03/01/2024,Delivered,Asir,Najran,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,9,33.24,486.86,Saudi Post,Bank Transfer,Hospital,0,True,17.565,44.2289,18.2164,42.5053,20.0394,42.2969,24.774265,46.738586
ORD1006,25/01/2023,25/01/2023,28/01/2023,28/01/2023,Delivered,Makkah,Al Lith,Almarai,Juices,Almarai,Almarai Mango 1.5L,12,32.16,1462.88,Saudi Post,Cash on Delivery,Retail,0,True,20.131,40.2665,21.3891,39.8579,21.392,39.858,24.774265,46.738586
ORD1007,05/08/2023,06/08/2023,07/08/2023,07/08/2023,Delivered,Al Bahah,Al Mandaq,Almarai,Juices,Almarai,Almarai Apple 1.5L,7,15.1,673.16,DHL,Bank Transfer,Supermarket,0,True,20.1233,41.2806,20.0129,41.4677,20.0135,41.469,24.7292,46.6443
ORD1008,17/11/2023,18/11/2023,22/11/2023,22/11/2023,Delivered,Northern Borders,Rafha,Almarai,Juices,Almarai,Almarai Mango 1.5L,19,81,2336.26,Saudi Post,Credit Card,School,0,True,29.6204,43.4933,30.9753,41.0381,30.004,41.001,24.774265,46.738586
ORD1009,21/12/2023,23/12/2023,27/12/2023,03/01/2024,Cancelled,Najran,Badr Al Janub,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,20,85.46,1164.84,Naqel,Cash on Delivery,Retail,7,False,17.9222,43.6611,17.565,44.2289,26.471,50.1055,24.6531,46.7141
