Promotion_ID,Start_Date,End_Date,Parent_Company,Category,Brand,Product,Promotion_Type,Discount_Pct,Channels,Target_Regions
PROMO93361,2020-01-01,2020-01-29,Almarai,Dairy,Almarai,Almarai Milk 1L,BOGO,29,"Newspaper, Radio, Social Media","Qassim, Madinah"
PROMO28402,2020-01-01,2020-01-17,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,0,Radio,Al Bahah
PROMO59453,2020-01-02,2020-01-19,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,Bundle,18,"TV, Radio",Al Bahah
PROMO78131,2020-01-05,2020-01-21,Unilever,Personal Care,Lux,Lux Body Wash,BOGO,0,"In-Store, TV, Radio","Riyadh, Northern Borders, Eastern Province"
PROMO70298,2020-01-05,2020-01-23,Unilever,Food,Lipton,Lipton Yellow Label 100g,BOGO,18,"Radio, In-Store, Social Media","Tabuk, Madinah, Riyadh"
PROMO13956,2020-01-05,2020-01-26,Unilever,Personal Care,Lux,Lux Body Wash,Free Gift,20,"Influencers, Radio, In-Store","Makkah, Madinah, Hail"
PROMO93666,2020-01-06,2020-01-20,PepsiCo,Snacks,Lays,Lays Classic 40g,Free Gift,0,"Newspaper, Radio",Eastern Province
PROMO61635,2020-01-06,2020-01-17,Almarai,Dairy,Lusine,Lusine Cheese 200g,BOGO,0,Radio,"Northern Borders, Hail, Qassim"
PROMO40526,2020-01-09,2020-01-16,Unilever,Personal Care,Lux,Lux Body Wash,Free Gift,40,"Newspaper, SMS, Influencers",Al Bahah
PROMO58731,2020-01-10,2020-01-23,Almarai,Dairy,Lusine,Lusine Cheese 200g,BOGO,32,"Newspaper, Radio","Asir, Qassim, Eastern Province"
PROMO12824,2020-01-11,2020-01-27,Nestlé,Dairy,Nido,Nido 900g,Bundle,0,"Radio, Social Media, Newspaper",Makkah
PROMO21554,2020-01-13,2020-01-26,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,19,Social Media,"Qassim, Makkah, Hail"
PROMO23982,2020-01-14,2020-01-26,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,15,"Influencers, Newspaper","Riyadh, Jazan"
PROMO37863,2020-01-15,2020-02-11,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Free Gift,11,"Social Media, Influencers, In-Store",Qassim
PROMO91813,2020-01-15,2020-01-30,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,BOGO,40,"Influencers, Newspaper","Riyadh, Makkah, Tabuk"
PROMO75879,2020-01-16,2020-01-28,Nestlé,Confectionery,KitKat,KitKat 4-finger,BOGO,36,Influencers,"Eastern Province, Asir"
PROMO59505,2020-01-18,2020-02-13,Unilever,Personal Care,Lux,Lux Body Wash,BOGO,0,Influencers,"Eastern Province, Northern Borders"
PROMO87327,2020-01-18,2020-01-27,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,Discount,26,"Influencers, SMS","Riyadh, Tabuk"
PROMO75213,2020-01-18,2020-02-14,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Discount,30,"In-Store, Radio","Makkah, Tabuk, Jazan"
PROMO12621,2020-01-20,2020-02-01,Nestlé,Confectionery,Quality,Quality Street Tin,BOGO,0,"Influencers, Radio","Makkah, Riyadh"
PROMO96454,2020-01-22,2020-02-13,Nestlé,Beverages,Milo,Milo 400g,Bundle,0,"SMS, Influencers","Hail, Jazan, Al Bahah"
PROMO19239,2020-01-23,2020-02-20,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,Free Gift,0,"Newspaper, Radio, Social Media","Tabuk, Madinah, Hail"
PROMO85960,2020-01-24,2020-02-18,Almarai,Juices,Almarai,Almarai Apple 1.5L,Discount,34,"SMS, Radio","Najran, Madinah"
PROMO56721,2020-01-25,2020-02-03,PepsiCo,Beverages,7Up,7Up 1L Bottle,Free Gift,7,"Radio, TV, SMS",Northern Borders
PROMO40646,2020-01-27,2020-02-21,Nestlé,Confectionery,Quality,Quality Street Tin,Bundle,0,"Newspaper, SMS","Najran, Qassim"
PROMO21605,2020-01-27,2020-02-12,PepsiCo,Snacks,Lays,Lays Classic 40g,Discount,0,"SMS, Influencers, TV","Tabuk, Northern Borders, Madinah"
PROMO54777,2020-01-27,2020-02-23,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Bundle,0,"Influencers, Social Media","Northern Borders, Riyadh, Al Bahah"
PROMO86304,2020-01-27,2020-02-20,Unilever,Food,Knorr,Knorr Chicken Cubes,Discount,9,Newspaper,"Madinah, Al Bahah, Qassim"
PROMO87968,2020-01-27,2020-02-05,Unilever,Food,Lipton,Lipton Yellow Label 100g,BOGO,17,Influencers,"Northern Borders, Asir, Najran"
PROMO50182,2020-01-27,2020-02-17,Almarai,Dairy,Lusine,Lusine Cheese 200g,Discount,0,"SMS, Radio, In-Store","Najran, Madinah, Qassim"
